"서울특별시",동작구,상도3동,2,142,11221,1,43,4112,1,99,7109,-,-,-
"서울특별시",동작구,상도4동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",동작구,사당1동,1,81,4228,-,-,-,-,-,-,1,81,4228
"서울특별시",동작구,사당3동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",동작구,사당4동,2,90,7625,1,15,2046,1,75,5579,-,-,-
"서울특별시",동작구,사당5동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",동작구,대방동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",동작구,신대방1동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",동작구,신대방2동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",동작구,흑석동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",동작구,노량진1동,1,20,8099,-,-,-,1,20,8099,-,-,-
"서울특별시",동작구,사당2동,1,135,10984,-,-,-,1,135,10984,-,-,-
"서울특별시",관악구,소계,26,2062,160076,11,455,34707,4,343,27038,11,1264,98331
"서울특별시",관악구,보라매동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",관악구,청림동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",관악구,행운동,2,162,10001,-,-,-,-,-,-,2,162,10001
"서울특별시",관악구,낙성대동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",관악구,중앙동,1,36,3406,1,36,3406,-,-,-,-,-,-
"서울특별시",관악구,인헌동,2,61,11810,1,7,2059,1,54,9751,-,-,-
"서울특별시",관악구,남현동,1,212,15702,-,-,-,-,-,-,1,212,15702
"서울특별시",관악구,서원동,1,200,17115,-,-,-,-,-,-,1,200,17115
"서울특별시",관악구,신원동,2,176,5714,1,57,2036,1,119,3678,-,-,-
"서울특별시",관악구,서림동,2,94,8210,1,43,5053,-,-,-,1,51,3157
"서울특별시",관악구,신사동,2,125,7556,1,25,3778,1,100,3778,-,-,-
"서울특별시",관악구,신림동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",관악구,난향동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",관악구,조원동,3,269,24070,1,140,6167,1,70,9831,1,59,8072
"서울특별시",관악구,대학동,1,81,-,-,-,-,-,-,-,1,81,-
"서울특별시",관악구,은천동,3,182,12852,2,68,5137,-,-,-,1,114,7715
"서울특별시",관악구,성현동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",관악구,청룡동,2,274,23953,1,51,3521,-,-,-,1,223,20432
"서울특별시",관악구,난곡동,2,90,8771,1,11,1824,-,-,-,1,79,6947
"서울특별시",관악구,삼성동,1,17,1726,1,17,1726,-,-,-,-,-,-
"서울특별시",관악구,미성동,1,83,9190,-,-,-,-,-,-,1,83,9190
"서울특별시",서초구,소계,6,910,31643,2,85,8500,-,-,-,4,825,23143
"서울특별시",서초구,서초1동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",서초구,서초2동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",서초구,서초3동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",서초구,서초4동,1,83,7044,-,-,-,-,-,-,1,83,7044
"서울특별시",서초구,잠원동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",서초구,반포본동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",서초구,반포1동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",서초구,반포2동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",서초구,반포3동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",서초구,반포4동,2,638,9252,-,-,-,-,-,-,2,638,9252
"서울특별시",서초구,방배본동,1,55,5975,1,55,5975,-,-,-,-,-,-
"서울특별시",서초구,방배1동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",서초구,방배2동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",서초구,방배3동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",서초구,방배4동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",서초구,양재1동,2,134,9372,1,30,2525,-,-,-,1,104,6847
"서울특별시",서초구,양재2동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",서초구,내곡동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",강남구,소계,10,1471,55753,4,369,9834,1,110,13100,5,992,32819
"서울특별시",강남구,신사동,1,70,3690,1,70,3690,-,-,-,-,-,-
"서울특별시",강남구,개포3동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",강남구,논현1동,1,110,13100,-,-,-,1,110,13100,-,-,-
"서울특별시",강남구,논현2동,1,40,1215,1,40,1215,-,-,-,-,-,-
"서울특별시",강남구,삼성1동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",강남구,삼성2동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",강남구,대치1동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",강남구,대치4동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",강남구,역삼1동,2,246,14107,-,-,-,-,-,-,2,246,14107
"서울특별시",강남구,역삼2동,1,60,2620,-,-,-,-,-,-,1,60,2620
"서울특별시",강남구,도곡1동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",강남구,도곡2동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",강남구,개포1동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",강남구,개포4동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",강남구,일원본동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",강남구,일원1동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",강남구,수서동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",강남구,세곡동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",강남구,압구정동,1,84,2059,1,84,2059,-,-,-,-,-,-
"서울특별시",강남구,청담동,1,175,2870,1,175,2870,-,-,-,-,-,-
"서울특별시",강남구,대치2동,1,549,10092,-,-,-,-,-,-,1,549,10092
"서울특별시",강남구,개포2동,1,137,6000,-,-,-,-,-,-,1,137,6000
"서울특별시",송파구,소계,8,1034,63854,1,64,3871,5,582,25375,2,388,34608
"서울특별시",송파구,풍납1동,1,140,5723,-,-,-,1,140,5723,-,-,-
"서울특별시",송파구,풍납2동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",송파구,거여1동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",송파구,거여2동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",송파구,마천1동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",송파구,마천2동,2,201,8788,1,64,3871,1,137,4917,-,-,-
"서울특별시",송파구,방이1동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",송파구,방이2동,1,138,7034,-,-,-,1,138,7034,-,-,-
"서울특별시",송파구,오륜동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",송파구,오금동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",송파구,송파1동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",송파구,송파2동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",송파구,석촌동,1,60,3912,-,-,-,1,60,3912,-,-,-
"서울특별시",송파구,삼전동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",송파구,가락본동,1,191,12608,-,-,-,-,-,-,1,191,12608
"서울특별시",송파구,가락1동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",송파구,가락2동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",송파구,문정1동,1,197,22000,-,-,-,-,-,-,1,197,22000
"서울특별시",송파구,문정2동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",송파구,잠실본동,1,107,3789,-,-,-,1,107,3789,-,-,-
"서울특별시",송파구,잠실4동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",송파구,잠실6동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",송파구,잠실7동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",송파구,잠실2동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",송파구,잠실3동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",송파구,장지동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",송파구,위례동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",강동구,소계,9,1089,49933,-,-,-,6,665,28032,3,424,21901
"서울특별시",강동구,명일1동,1,90,5146,-,-,-,1,90,5146,-,-,-
"서울특별시",강동구,명일2동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",강동구,고덕1동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",강동구,고덕2동,1,104,6699,-,-,-,-,-,-,1,104,6699
"서울특별시",강동구,암사2동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",강동구,암사3동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",강동구,천호1동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",강동구,천호3동,1,86,1468,-,-,-,1,86,1468,-,-,-
"서울특별시",강동구,성내1동,1,170,10111,-,-,-,-,-,-,1,170,10111
"서울특별시",강동구,성내2동,2,231,7791,-,-,-,1,81,2700,1,150,5091
"서울특별시",강동구,성내3동,1,124,4140,-,-,-,1,124,4140,-,-,-
"서울특별시",강동구,둔촌1동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",강동구,둔촌2동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",강동구,암사1동,1,121,5136,-,-,-,1,121,5136,-,-,-
"서울특별시",강동구,천호2동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",강동구,길동,1,163,9442,-,-,-,1,163,9442,-,-,-
"서울특별시",강동구,강일동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",강동구,상일1동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",강동구,상일2동,-,-,-,-,-,-,-,-,-,-,-,-
